Title,Author,ISBN,Location
Charting the Book of Mormon: Visual Aids for Personal Study and Teaching,"Welch, John W.",9780934893404,Study-Front-Left-2
Voices from the Dust: New Insights into Ancient America,"Calderwood, David G.",9781881825500,Study-Front-Left-2
"The Allegory of the Olive Tree: The Olive, the Bible, and Jacob 5","Welch, John W.",9780875797670,Study-Front-Left-2
"An Approach to the Book of Mormon (Collected Works of Hugh Nibley, Vol. 6)","Nibley, Hugh",9780875791388,Study-Front-Left-2
"Lehi in the Desert; The World of the Jaredites; There Were Jaredites (Collected Works of Hugh Nibley, Vol. 5)","Nibley, Hugh",9780875791326,Study-Front-Left-2
"1 Nephi,BYU Religious Studies Center",,Study-Front-Left-2
"2 Nephi 1–16,BYU Religious Studies Center",,Study-Front-Left-2
"2 Nephi 17–33,BYU Religious Studies Center",,Study-Front-Left-2
"Jacob through Omni,BYU Religious Studies Center",,Study-Front-Left-2
"Mosiah,BYU Religious Studies Center",,Study-Front-Left-2
"Book of Mormon: Alma 1–29,BYU Religious Studies Center",,Study-Front-Left-2
"Book of Mormon: Alma 30–63,BYU Religious Studies Center",,Study-Front-Left-2
"Helaman–3 Nephi 8,BYU Religious Studies Center",,Study-Front-Left-2
"3 Nephi 9–30,BYU Religious Studies Center",,Study-Front-Left-2
"4 Nephi–Moroni,BYU Religious Studies Center",,Study-Front-Left-2
A Preparatory Redemption - Reading Alma 12-13, "Bowman, Matthew",9780842530255,Study-Front-Left-2
The Mystery of the Ancient Maya,"Meyer, Carolyn",0689506198,Study-Front-Left-2
Understanding the Book of Mormon: A Reader's Guide,"Hardy, Grant",9780199731701,Study-Front-Left-2
The Coming Forth of the Book of Mormon: The 44th Annual BYU Sidney B. Sperry Symposium,"Welch, John W.",9781629721149,Study-Front-Left-2
The Messiah in Ancient America,"Warren, Bruce W.",9780936860497,Study-Front-Left-2
The Book of Mormon Paintings of Minerva Teichert,"Welch, John W.",9781570083785,Study-Front-Left-2
The Golden Plates: Premium Edition,"Allred, Michael",978176561R00126,Study-Front-Left-2
The Book of Mormon: The Earliest Text (Hardcover),"Skousen, Royal",9780300142181,Study-Front-Left-2
Feasting on the Word: The Literary Testimony of the Book of Mormon,"Rust, Richard Dilworth",9781573452045,Study-Front-Left-2
Mormon’s Codex: An Ancient American Book,"Sorenson, John L.",9781609073992,Study-Front-Left-2
Mysteries of the Ancient Americas: The New World Before Columbus,Reader's Digest Association,9780895771834,Study-Front-Left-2
The Book of Mormon Made Harder,"Faulconer, James E.",9780842528627,Study-Front-Left-2
The New Testament Made Harder: Scripture Study Questions,"Faulconer, James E.",9780842528719,Study-Front-Left-2
